FName,LName,Gender,AreaCode,Phone,City,State,Zip,MaritalStatus,HasChild,Salary,Rate,SingleExemp,MarriedExemp,ChildExemp
Allesandro,Hitomi,F,808,1015291,HOLUALOA,HI,96725,M,N,76000,8.25,0,2080,0
Gail,Zhongzhi,M,402,1009883,ORD,NE,68862,S,Y,20500,5.77444,103,0,103
Ramadan,Fechter,M,435,1004113,OGDEN,UT,84404,S,Y,46000,7.0,2475,0,2475
Daeweon,Romoli,F,207,1003890,CORINTH,ME,4427,M,N,44500,8.5,0,5700,0
Kellyn,Rapin,M,703,1001697,VIRGINIA BEACH,VA,23455,M,N,73500,5.75,0,1800,0
Hisakazu,Kaka,F,719,1004778,COLORADO SPRINGS,CO,80928,M,N,35000,4.63,0,0,0
Shore,Kindlund,M,386,1000243,SAINT AUGUSTINE,FL,32085,S,Y,93500,0.0,0,0,0
Zdislav,Freuder,F,601,1000831,WINSTONVILLE,MS,38781,S,Y,90500,5.0,6000,0,1500
Wenyong,Brambilla,M,765,1000094,KIMMELL,IN,46760,S,Y,4500,3.4,1000,0,1000
Ilsoo,Fernald,M,678,1002314,FORTSON,GA,31808,S,Y,48000,6.0,2700,0,3000
Madhur,Masuhara,F,551,1000307,FORT LEE,NJ,7024,M,N,28000,1.5261667,0,2000,0
Akimou,Nitadori,M,501,1002237,CENTERTON,AR,72719,S,Y,46000,7.0,20,0,20
Takis,Tolly,M,304,1006339,ORGAS,WV,25148,M,N,66500,6.5,0,4000,0
Nicoletta,Taubman,M,302,1001516,MONTCHANIN,DE,19710,S,Y,30500,3.9386363,110,0,110
Johanna,Nassar,F,501,1002874,WESLEY,AR,72773,S,Y,72500,7.0,20,0,20
Ivelin,Michaelson,M,731,1002868,SHELBYVILLE,TN,37161,S,Y,30500,0.0,0,0,0
Gabriella,Rege,M,716,1000656,BELLEVILLE,NY,13611,S,Y,17000,4.052134,0,0,1000
Xuedong,Fullerton,F,605,1008068,BELVIDERE,SD,57521,M,N,91500,0.0,0,0,0
Meyer,Clamen,F,469,1001035,AUSTIN,TX,78746,S,Y,81500,0.0,0,0,0
Joachim,Hapanyengwi,F,517,1001886,KEWADIN,MI,49648,S,Y,39000,3.9,3100,0,3100
Anisoara,Milis,F,947,1000006,NEWBERRY,MI,49868,M,N,46500,3.9,0,6200,0
Marios,Callon,F,503,1001410,PORTLAND,OR,97205,S,Y,66000,9.0,159,0,159
Hyuckchul,Arcos,M,505,1007281,CARLSBAD,NM,88220,M,N,93500,5.3,0,6600,0
Kalle,Piela,M,413,1001902,NEWTONVILLE,MA,2460,M,N,74500,5.3,0,7150,0
Nunzio,Lidinsky,F,973,1000365,WEST BERLIN,NJ,8091,S,Y,95000,2.5828125,1000,0,1500
Jerrell,Rovere,F,435,1000905,SALT LAKE CITY,UT,84103,M,N,39500,7.0,0,4950,0
Aniello,Hallowell,F,865,1000190,NEW MARKET,TN,37820,S,Y,19500,0.0,0,0,0
